...1,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
17243,699550565050973,January,NY,2886.7727,2884.61,60,45,1,7,60,2,1,0,0,"Foreign Born, US Cit By Naturalization",NY,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,TRUE,48.07683333333333,3.8728004256064557
17256,907906323894706,January,NY,3366.5491,2115.38,37,44,1,NA,48,2,1,0,0,"Native, Born In US",NY,Hospitals (622),3255,"Private, For Profit",No,No,Employed-At Work,TRUE,57.17243243243244,4.04607183172834
17263,922036959379890,January,NY,3884.4964,1575,40,44,2,NA,41,2,1,3,3,"Foreign Born, US Cit By Naturalization",NY,Elementary and secondary schools (6111),2310,Government - State,Yes,NA,Employed-At Work,TRUE,39.375,3.6731310971457973
17265,923046999339530,January,NY,2503.4696,1134.61,40,44,1,NA,37,2,1,2,8,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,NA,Employed-At Work,TRUE,28.365249999999996,3.34516480441852
17266,923046999339530,January,NY,3339.7684,1057.69,40,44,1,NA,38,1,1,2,8,"Native, Born In US",NY,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",800,Government - Federal,No,No,Employed-At Work,FALSE,26.44225,3.274963109698682
17281,966229730866309,January,NY,2942.5334,1153,40,44,1,NA,34,2,2,0,0,"Native, Born In US",NY,Elementary and secondary schools (6111),2330,Government - Local,Yes,NA,Employed-At Work,TRUE,28.825,3.3612430661551227
17332,306013607072781,January,NC,3750.1298,738.46,40,44,4,NA,43,1,1,0,0,"Foreign Born, Not a US Citizen",56,Religious organizations (8131),2040,"Private, Nonprofit",No,No,Employed-At Work,FALSE,18.4615,2.9156874825449512
17336,310279000337120,January,NC,3636.6155,1471,40,44,1,NA,33,1,1,3,6,"Native, Born In US",56,Hospitals (622),710,"Private, Nonprofit",No,No,Employed-At Work,FALSE,36.775,3.6048182664875013
17349,360976094633309,January,NC,3179.6827,1057,40,44,2,NA,55,2,1,0,0,"Native, Born In US",56,"Colleges and universities, including junior colleges (6112, 6113)",2000,"Private, For Profit",No,No,Employed-At Work,TRUE,26.425,3.2743105317563015
17354,373968097001305,January,NC,4108.9858,921,40,44,1,NA,30,2,1,1,3,"Native, Born In US",56,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",800,"Private, For Profit",No,No,Employed-At Work,TRUE,23.025,3.1365805821413706
17378,632301760700178,January,NC,3636.6155,2307.69,40,44,1,NA,34,1,1,2,2,"Foreign Born, US Cit By Naturalization",56,Medical equipment and supplies manufacturing (3391),430,"Private, For Profit",No,No,Employed-At Work,FALSE,57.69225,4.0551228490683195
17387,730700065463119,January,NC,3475.3908,700,50,44,1,NA,60,1,1,0,0,"Native, Born In US",56,"Pulp, paper, and paperboard mills (3221)",9640,"Private, For Profit",No,No,Employed-At Work,FALSE,14,2.6390573296152584
17392,773187063001206,January,NC,3373.1704,1153,40,44,1,NA,43,1,1,2,3,"Foreign Born, US Cit By Naturalization",56,Computer systems design and related services (5415),140,"Private, For Profit",No,No,Employed-At Work,FALSE,28.825,3.3612430661551227
17401,799430917800973,January,NC,3373.1704,2884.61,50,44,1,NA,43,1,1,2,10,"Native, Born In US",56,Pharmaceutical and medicine manufacturing (3254),1430,"Private, For Profit",No,No,Employed-At Work,FALSE,57.6922,4.0551219824004106
17421,937649870969309,January,NC,3422.2516,646.15,40,46,2,NA,54,2,1,0,0,"Native, Born In US",56,Administration of human resource programs (923),565,Government - State,No,No,Employed-At Work,TRUE,16.15375,2.782152220857264
17438,977549270219307,January,NC,3373.1704,1826.92,45,44,1,NA,43,1,1,2,6,"Native, Born In US",56,Sound recording industries (5122),20,"Private, For Profit",No,No,Employed-At Work,FALSE,40.598222222222226,3.7037242780189863
17439,977549270219307,January,NC,3733.9326,1096.15,45,44,1,NA,37,2,1,2,6,"Native, Born In US",56,Hospitals (622),2010,"Private, Nonprofit",No,No,Employed-At Work,TRUE,24.35888888888889,3.1928968296868545
17450,7909903898657,January,NC,3604.6033,1730.76,40,44,1,NA,54,1,1,0,0,"Native, Born In US",56,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1410,"Private, For Profit",No,No,Employed-At Work,FALSE,43.269,3.767436443269483
17451,26077287370610,January,NC,5466.7249,576,50,44,2,NA,37,2,1,2,8,"Native, Born In US",56,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",430,"Private, For Profit",No,No,Employed-At Work,TRUE,11.52,2.444084655267745
17465,217860670270307,January,NC,4820.7742,1900,40,44,4,NA,36,1,1,2,8,"Foreign Born, Not a US Citizen",56,Computer systems design and related services (5415),430,"Private, For Profit",No,No,Employed-At Work,FALSE,47.5,3.8607297110405954
17466,217860670270307,January,NC,4238.8286,1500,40,44,4,NA,34,2,1,2,8,"Foreign Born, Not a US Citizen",56,Computer systems design and related services (5415),110,"Private, For Profit",No,No,Employed-At Work,TRUE,37.5,3.624340932976365
17474,305077209094751,January,NC,3856.3306,1000,36,44,1,NA,42,2,1,2,3,"Native, Born In US",56,Hospitals (622),3160,"Private, For Profit",No,No,Employed-At Work,TRUE,27.77777777777778,3.324236340526027
17490,398977500096778,January,NC,3107.5579,2692,40,44,1,NA,58,2,1,0,0,"Native, Born In US",56,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,TRUE,67.3,4.209160236650682
17515,720660712780073,January,NC,3913.5759,865.38,40,44,4,NA,63,2,5,0,0,"Foreign Born, US Cit By Naturalization",56,"Administration of environmental quality and housing programs (924, 925)",1010,Government - Federal,No,No,Employed-At Work,TRUE,21.6345,3.0742892627095375
17536,799900827900973,January,NC,3153.8164,1038.46,40,46,2,NA,55,2,1,0,0,"Native, Born In US",56,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - Local,No,No,Employed-At Work,TRUE,25.9615,3.2566146713684687
17605,260976098533539,January,NC,3575.1429,2692,40,44,1,NA,60,2,1,0,0,"Native, Born In US",56,Hospitals (622),3320,"Private, Nonprofit",No,No,Employed-At Work,TRUE,67.3,4.209160236650682
17609,308013402017741,January,NC,3543.3152,1900,40,44,1,NA,51,1,1,0,0,"Native, Born In US",56,Elementary and secondary schools (6111),230,Government - State,No,No,Employed-At Work,FALSE,47.5,3.8607297110405954
17613,330700048412117,January,NC,4314.7895,807,40,44,2,NA,31,2,2,3,8,"Native, Born In US",56,Home health care services (6216),3255,"Private, For Profit",No,No,Employed-At Work,TRUE,20.175,3.0044442141560124
17753,5823370998696,January,NC,3062.4124,400,40,44,1,NA,59,2,1,0,0,"Native, Born In US",56,Restaurants and other food services (722 exc. 7224),4020,"Private, For Profit",No,No,Employed-At Work,TRUE,10,2.302585092994046
17774,730700039214918,January,NC,3607.0321,1538,40,44,1,NA,32,1,3,0,0,"Native, Born In US",56,Elementary and secondary schools (6111),2330,Government - State,No,No,Employed-At Work,FALSE,38.45,3.649358695951653
17793,927369870789301,January,NC,3509.3085,903.84,50,44,1,NA,61,2,1,0,0,"Native, Born In US",56,Outpatient care centers (6214),2000,"Private, For Profit",No,No,Employed-At Work,TRUE,18.076800000000002,2.894629348148806
17844,330806431506197,January,ND,406.3259,927.65,40,44,1,NA,46,2,1,2,3,"Native, Born In US",ND,Elementary and secondary schools (6111),2320,Government - Local,Yes,NA,Employed-At Work,TRUE,23.19125,3.1437750523589503
17847,330809991273288,January,ND,378.9414,927,40,44,1,NA,40,2,1,2,3,"Native, Born In US",ND,"Other health care services (6215, 6219)",3258,"Private, Nonprofit",No,No,Employed-At Work,TRUE,23.175,3.1430741114519187
17855,383722093908891,January,ND,389.8388,960,45,44,1,NA,45,1,1,2,3,"Native, Born In US",ND,** Construction (23),6355,"Private, For Profit",Yes,NA,Employed-At Work,FALSE,21.333333333333332,3.060270794691562
17970,27068218370680,January,ND,368.7361,738.46,40,44,1,NA,39,2,1,3,3,"Native, Born In US",ND,Elementary and secondary schools (6111),2550,Government - Local,No,No,Employed-At Work,TRUE,18.4615,2.9156874825449512
18020,330809977906486,January,ND,552.0073,1388.88,40,44,1,NA,35,1,1,2,2,"Native, Born In US",ND,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,FALSE,34.722,3.547373491819757
18021,330809977906486,January,ND,405.7736,1388.88,40,44,1,NA,34,2,1,2,2,"Native, Born In US",ND,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,TRUE,34.722,3.547373491819757
18023,360453505022819,January,ND,406.4667,738.46,40,44,1,NA,29,2,2,0,0,"Native, Born In US",ND,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",No,No,Employed-At Work,TRUE,18.4615,2.9156874825449512
18025,378927905075888,January,ND,369.6912,1019.23,40,44,4,NA,52,1,7,0,0,"Foreign Born, Not a US Citizen",ND,Elementary and secondary schools (6111),430,Government - State,No,No,Employed-At Work,FALSE,25.48075,3.2379232651216294
18043,473374539800881,January,ND,406.4667,784.61,45,44,1,NA,29,2,1,1,2,"Native, Born In US",ND,"Architectural, engineering, and related services (5413)",1300,"Private, For Profit",No,No,Employed-At Work,TRUE,17.43577777777778,2.8585242892718594
18114,931315340800188,January,ND,415.0957,415.38,40,45,1,NA,26,2,1,1,1,"Native, Born In US",ND,Individual and family services (6241),2000,"Private, Nonprofit",No,No,Employed-At Work,TRUE,10.3845,2.340314309804053
18136,76253390999991,January,OH,3090.4842,980.76,40,44,2,NA,51,2,1,0,0,"Native, Born In US",OH,Hospitals (622),5700,Government - Federal,Yes,NA,Employed-At Work,TRUE,24.519,3.199448327202102
18146,93285087001402,January,OH,3603.4739,2634.61,40,46,1,NA,28,2,1,1,1,"Native, Born In US",OH,Pharmacies and drug stores (44611),3050,"Private, For Profit",No,No,Employed-At Work,TRUE,65.86525,4.187610988317189
18169,390947004066938,January,OH,2974.494,769,40,44,1,NA,43,2,1,3,4,"Native, Born In US",OH,Hospitals (622),2010,"Private, For Profit",No,No,Employed-At Work,TRUE,19.225,2.9562115153917077
18176,407008203105829,January,OH,3585.3641,1346.15,40,44,1,NA,28,1,1,1,1,"Native, Born In US",OH,"Architectural, engineering, and related services (5413)",1460,"Private, For Profit",No,No,Employed-At Work,FALSE,33.65375,3.516124491189194
18177,407008203105829,January,OH,3603.4739,769.23,60,46,1,NA,27,2,1,1,1,"Native, Born In US",OH,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,TRUE,12.820500000000001,2.5510454522920454
18247,999290035700973,January,OH,3585.3641,711.53,40,44,1,NA,25,1,7,0,0,"Native, Born In US",OH,"Colleges and universities, including junior colleges (6112, 6113)",2000,Government - State,No,No,Employed-At Work,FALSE,17.788249999999998,2.8785381269683965
18270,49623790925297,January,OH,3425.2118,634,50,45,1,NA,48,2,1,2,3,"Native, Born In US",OH,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",No,No,Employed-At Work,TRUE,12.68,2.5400259490090797
18278,62333390970794,January,OH,3040.5162,800,30,44,1,NA,39,2,1,2,8,"Native, Born In US",OH,Elementary and secondary schools (6111),2320,Government - Local,Yes,NA,Employed-At Work,TRUE,26.666666666666668,3.283414346005772
18279,62333390970794,January,OH,3769.5351,2500,45,45,1,NA,39,1,1,2,8,"Native, Born In US",OH,Plastics product manufacturing (3261),2100,"Private, For Profit",No,No,Employed-At Work,FALSE,55.55555555555556,4.017383521085972
18307,193927063001101,January,OH,3531.1408,927,40,44,1,NA,51,2,1,0,0,"Native, Born In US",OH,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,TRUE,23.175,3.1430741114519187
18310,229579470699302,January,OH,4270.2557,865.38,80,45,2,NA,30,2,7,0,0,"Native, Born In US",OH,Hospitals (622),3010,"Private, Nonprofit",No,No,Employed-At Work,TRUE,10.81725,2.381142082149592
18312,237301150900174,January,OH,3705.1125,2884.61,48,44,1,NA,60,2,1,0,0,"Native, Born In US",OH,Insurance carriers and related activities (524),10,"Private, For Profit",No,No,Employed-At Work,TRUE,60.09604166666667,4.095943976920665
18324,303027507016931,January,OH,3113.5958,720,40,44,1,NA,47,2,1,1,4,"Native, Born In US",OH,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,Yes,NA,Employed-At Work,TRUE,18,2.8903717578961645
18329,330900070446215,January,OH,3004.5873,1440,24,46,1,NA,32,2,1,1,2,"Native, Born In US",OH,Pharmacies and drug stores (44611),3050,"Private, For Profit",No,No,Employed-At Work,TRUE,60,4.0943445622221
18330,330900070446215,January,OH,3050.459,2240,40,46,1,NA,32,1,1,1,2,"Native, Born In US",OH,Pharmacies and drug stores (44611),3050,"Private, For Profit",No,No,Employed-At Work,FALSE,56,4.02535169073515
18388,399977505099993,January,OH,4055.8487,865,40,46,4,NA,58,2,1,0,0,"Foreign Born, Not a US Citizen",OH,Hospitals (622),1650,"Private, Nonprofit",No,No,Employed-At Work,TRUE,21.625,3.073850052817943
18389,399977505099993,January,OH,3976.1797,1634,40,46,4,NA,58,1,1,0,0,"Foreign Born, Not a US Citizen",OH,Hospitals (622),1650,"Private, Nonprofit",No,No,Employed-At Work,FALSE,40.85,3.709906821306012
18411,489729270939309,January,OH,3305.2934,1250,50,44,1,NA,30,2,1,3,1,"Native, Born In US",OH,Hospitals (622),3255,"Private, Nonprofit",No,No,Employed-At Work,TRUE,25,3.2188758248682006
18420,499819770869307,January,OH,3345.9194,2634,40,44,1,NA,33,2,1,1,2,"Native, Born In US",OH,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,TRUE,65.85,4.18737942818929
18422,507009013104159,January,OH,3387.7633,1250,40,45,4,NA,34,2,6,1,1,"Foreign Born, Not a US Citizen",OH,Medical equipment and supplies manufacturing (3391),2630,"Private, For Profit",No,No,Employed-At Work,TRUE,31.25,3.4420193761824107
18446,630997095637999,January,OH,3397.0024,673.07,45,45,1,NA,31,1,1,1,1,"Native, Born In US",OH,"Justice, public order, and safety activities (922, pt. 92115)",2100,Government - Local,No,No,Employed-At Work,FALSE,14.957111111111113,2.70518684635262
18485,779049630329303,January,OH,3196.2692,2884.61,40,45,1,NA,53,1,1,0,0,"Native, Born In US",OH,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,FALSE,72.11525,4.27826553371462
18513,909979730666304,January,OH,3058.2761,2211.53,36,44,1,NA,40,2,5,0,0,"Native, Born In US",OH,Outpatient care centers (6214),3256,"Private, For Profit",No,No,Employed-At Work,TRUE,61.4313888888889,4.117920924213574
18521,919499430616303,January,OH,3345.9194,961.53,45,46,1,NA,31,2,1,2,10,"Native, Born In US",OH,"Justice, public order, and safety activities (922, pt. 92115)",2145,Government - Local,No,No,Employed-At Work,TRUE,21.36733333333333,3.0618632760198157
18528,929069439339200,January,OH,3095.866,1712.5,36,46,1,NA,44,2,5,0,0,"Native, Born In US",OH,Veterinary services (54194),3250,"Private, For Profit",No,No,Employed-At Work,TRUE,47.56944444444444,3.8621906316802703
18532,929740226950973,January,OH,3003.5983,1372.54,40,44,1,NA,37,2,7,0,0,"Native, Born In US",OH,Hospitals (622),3258,Government - Local,No,No,Employed-At Work,TRUE,34.3135,3.5355388627430706
18538,932029921379920,January,OH,3150.9155,1200,45,44,1,NA,43,1,1,7,10,"Native, Born In US",OH,Elementary and secondary schools (6111),2310,Government - Local,Yes,NA,Employed-At Work,FALSE,26.666666666666668,3.283414346005772
18562,949920902630933,January,OH,3467.3118,1634.61,40,44,1,NA,46,2,1,0,0,"Native, Born In US",OH,Legal services (5411),430,"Private, For Profit",No,No,Employed-At Work,TRUE,40.865249999999996,3.710280068654017
18576,969429030779304,January,OH,3405.9698,761,60,44,1,NA,55,1,1,0,0,"Native, Born In US",OH,Computer systems design and related services (5415),1050,"Private, For Profit",No,No,Employed-At Work,FALSE,12.683333333333334,2.540288795639585
18681,379369419900831,January,OH,2756.3073,440,38,44,1,NA,39,2,5,1,3,"Native, Born In US",OH,"Commercial, industrial, and other intangible assets rental and leasing (5324, 533)",7510,"Private, For Profit",No,No,Employed-At Work,TRUE,11.578947368421053,2.4491885671859213
18682,430996065733129,January,OH,3143.2087,1115.38,50,44,1,NA,45,2,1,1,3,"Native, Born In US",OH,Elementary and secondary schools (6111),2310,Government - Local,Yes,NA,Employed-At Work,TRUE,22.3076,3.1049274275793874
18829,86714300999397,January,OK,2491.2216,1153.84,40,44,2,NA,56,1,7,0,0,"Native, Born In US",73,Religious organizations (8131),2750,"Private, Nonprofit",No,No,Employed-At Work,FALSE,28.845999999999997,3.3619713351613183
18833,99690666740974,January,OK,2549.6312,1923.07,40,45,4,NA,48,1,1,1,4,"Foreign Born, Not a US Citizen",73,Miscellaneous petroleum and coal products (32419),430,"Private, For Profit",No,No,Employed-At Work,FALSE,48.07675,3.872798692268385
18856,404073903035041,January,OK,2323.8447,2884.61,50,45,1,NA,50,1,1,2,10,"Native, Born In US",73,Outpatient care centers (6214),3060,"Private, For Profit",No,No,Employed-At Work,FALSE,57.6922,4.0551219824004106
18879,935407340000134,January,OK,3268.9211,2884.61,40,44,1,NA,38,1,7,0,0,"Native, Born In US",73,3365,10,"Private, For Profit",No,No,Employed-At Work,FALSE,72.11525,4.27826553371462
18888,987090901479280,January,OK,2389.3864,592,52,45,1,NA,45,1,1,2,10,"Native, Born In US",73,Electronic and precision equipment repair and maintenance (8112),7010,"Private, For Profit",No,No,Employed-At Work,FALSE,11.384615384615385,2.4322629163025784
18914,204221023906399,January,OK,3119.0034,673.07,40,44,1,NA,36,1,1,2,3,"Native, Born In US",73,Elementary and secondary schools (6111),2320,Government - Local,No,No,Employed-At Work,FALSE,16.82675,2.8229698820090032
18917,204608037906599,January,OK,2151.6561,1480,70,46,1,NA,60,1,1,3,4,"Native, Born In US",73,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,FALSE,21.142857142857142,3.0513021247088017
18944,499923202013026,January,OK,1631.8835,2884.61,40,44,2,NA,54,2,5,0,0,"Native, Born In US",73,National security and international affairs (928),5620,Government - Federal,No,No,Employed-At Work,TRUE,72.11525,4.27826553371462
18977,950719070419405,January,OK,2634.2117,1153.84,40,44,1,NA,42,1,1,3,14,"Native, Born In US",73,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,FALSE,28.845999999999997,3.3619713351613183
19036,207009014106140,January,OK,2198.2779,1923,40,44,1,NA,52,1,1,0,0,"Native, Born In US",73,"Aerospace products and parts manufacturing (336414, 336415, 336419)",800,"Private, For Profit",No,No,Employed-At Work,FALSE,48.075,3.8727622914748436
19085,980089830246409,January,OK,2217.2696,865.38,50,44,1,NA,54,1,1,0,0,"Native, Born In US",73,Elementary and secondary schools (6111),230,Government - State,Yes,NA,Employed-At Work,FALSE,17.3076,2.851145711395328
19086,980089830246409,January,OK,2085.0312,769.23,50,44,1,NA,51,2,1,0,0,"Native, Born In US",73,Elementary and secondary schools (6111),1820,Government - State,Yes,NA,Employed-At Work,TRUE,15.3846,2.733367009086
19107,36469139000990,January,OK,2173.9959,673.07,40,46,1,NA,60,1,1,0,0,"Native, Born In US",73,Religious organizations (8131),2040,"Private, Nonprofit",No,No,Employed-At Work,FALSE,16.82675,2.8229698820090032
19126,910903060943069,January,OK,2068.5989,692.3,40,44,1,NA,46,2,7,1,4,"Native, Born In US",73,Elementary and secondary schools (6111),2310,Government - State,No,Yes,Employed-At Work,TRUE,17.307499999999997,2.8511399335700434
19148,34496469100844,January,OR,2058.7297,461.53,30,44,1,NA,48,2,1,1,3,"Native, Born In US",92,Cut and sew apparel manufacturing (3152),1540,"Private, For Profit",No,No,Employed-At Work,TRUE,15.384333333333332,2.7333496755851088
19149,40494310971594,January,OR,2814.1936,692,40,46,4,NA,37,1,1,2,2,"Native, Born In US",92,"Architectural, engineering, and related services (5413)",1360,"Private, For Profit",No,No,Employed-At Work,FALSE,17.3,2.8507065015037334
19158,179070939030934,January,OR,2584.0039,2884.61,40,46,4,NA,31,1,7,0,0,"Foreign Born, US Cit By Naturalization",92,Offices of physicians (6211),3060,"Private, For Profit",No,No,Employed-At Work,FALSE,72.11525,4.27826553371462
19179,401077906096141,January,OR,1981.9087,2692.3,50,44,1,NA,41,1,7,0,0,"Foreign Born, Not a US Citizen",92,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",10,"Private, For Profit",No,No,Employed-At Work,FALSE,53.846000000000004,3.986128120434929
19180,406073103010141,January,OR,2018.3008,1346,40,46,1,NA,41,2,1,2,3,"Native, Born In US",92,Outpatient care centers (6214),3160,"Private, For Profit",No,No,Employed-At Work,TRUE,33.65,3.5160130560907366
19181,406073103010141,January,OR,1981.9087,717.2,40,44,1,NA,40,1,1,2,3,"Native, Born In US",92,Air transportation (481),9030,"Private, For Profit",No,No,Employed-At Work,FALSE,17.93,2.8864752876170416
19183,475947805093188,January,OR,2136.696,2884.61,70,46,1,NA,34,1,1,3,5,"Native, Born In US",92,Offices of physicians (6211),3060,"Private, For Profit",No,No,Employed-At Work,FALSE,41.20871428571429,3.7186497457791976
19191,607004764109911,January,OR,2097.5653,2211.53,50,45,1,NA,27,1,7,0,0,"Native, Born In US",92,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1530,"Private, For Profit",No,No,Employed-At Work,FALSE,44.2306,3.789416857241538
19202,731309730909409,January,OR,2149.729,692,32,46,2,NA,38,1,1,3,7,"Native, Born In US",92,Footwear manufacturing (3162),3930,"Private, For Profit",No,No,Employed-At Work,FALSE,21.625,3.073850052817943
19206,740109907330989,January,OR,1742.8648,1250,40,44,1,NA,61,1,1,0,0,"Native, Born Abroad Of US Parent(s)",92,"Civic, social, advocacy organizations, and grantmaking and giving services (8132, 8133, 8134)",2340,"Private, Nonprofit",No,No,Employed-At Work,FALSE,31.25,3.4420193761824107
19215,751149430409409,January,OR,1935.7048,2115.38,40,44,1,NA,56,2,1,0,0,"Native, Born In US",92,3365,430,"Private, For Profit",No,No,Employed-At Work,TRUE,52.8845,3.9681102902586276
19223,873474559100898,January,OR,2814.1936,2800,40,46,4,NA,36,1,1,2,3,"Native, Born Abroad Of US Parent(s)",92,Footwear manufacturing (3162),1020,"Private, For Profit",No,No,Employed-At Work,FALSE,70,4.248495242049359
19224,873474559100898,January,OR,2098.1779,1346.15,40,46,4,NA,41,2,1,2,3,"Native, Born Abroad Of US Parent(s)",92,Scientific research and development services (5417),1760,"Private, For Profit",No,No,Employed-At Work,TRUE,33.65375,3.516124491189194
19225,907903304899071,January,OR,2030.6523,576,50,44,2,NA,44,1,1,2,6,"Native, Born In US",92,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,NA,Employed-At Work,FALSE,11.52,2.444084655267745
19362,931969770969408,January,OR,1883.4063,1730.76,40,44,1,NA,55,2,1,0,0,"Native, Born In US",92,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",430,Government - State,No,No,Employed-At Work,TRUE,43.269,3.767436443269483
19364,947061938479390,January,OR,1747.4882,2307.46,50,45,1,NA,52,1,1,1,4,"Foreign Born, Not a US Citizen",92,"Civic, social, advocacy organizations, and grantmaking and giving services (8132, 8133, 8134)",3060,"Private, Nonprofit",No,No,Employed-At Work,FALSE,46.1492,3.831879626020714
19368,960913097847349,January,OR,2126.0101,1038.46,50,44,1,NA,29,2,7,0,0,"Native, Born In US",92,Elementary and secondary schools (6111),2310,Government - Local,Yes,NA,Employed-At Work,TRUE,20.7692,3.033471120054259
19480,70917097243379,January,OR,1898.4989,761.25,29,44,1,NA,63,2,1,0,0,"Native, Born In US",92,Hospitals (622),2010,"Private, Nonprofit",No,No,Employed-At Work,TRUE,26.25,3.2676659890376327
19490,340100068839615,January,OR,2180.1797,1500,40,44,1,NA,32,2,1,0,0,"Native, Born In US",92,Computer systems design and related services (5415),20,"Private, For Profit",No,No,Employed-At Work,TRUE,37.5,3.624340932976365
19491,340100068839615,January,OR,2135.5799,1700,50,45,1,NA,31,1,1,0,0,"Native, Born In US",92,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work,FALSE,34,3.5263605246161616
19492,408033609065181,January,OR,2369.7785,1153.84,40,44,1,NA,37,1,1,3,8,"Native, Born In US",92,"Management, scientific, and technical consulting services (5416)",430,"Private, For Profit",No,No,Employed-At Work,FALSE,28.845999999999997,3.3619713351613183
19493,408033609065181,January,OR,1981.1809,576.92,20,45,1,NA,38,2,1,3,8,"Native, Born In US",92,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work,TRUE,28.845999999999997,3.3619713351613183
19517,914386063001508,January,OR,2135.5799,1692.3,45,44,1,NA,34,1,1,2,6,"Native, Born In US",92,Computer systems design and related services (5415),1020,"Private, For Profit",No,No,Employed-At Work,FALSE,37.60666666666667,3.6271813396437205
19527,991059270389404,January,OR,1695.7765,923.07,50,44,1,NA,61,1,1,0,0,"Native, Born In US",92,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",1840,Government - Local,No,No,Employed-At Work,FALSE,18.4614,2.9156820658523297
19585,497957206049283,January,PA,3692.3379,960,40,45,1,7,37,2,7,0,0,"Native, Born In US",PA,Veterinary services (54194),3250,"Private, For Profit",No,No,Employed-At Work,TRUE,24,3.1780538303479458
19589,500925092343219,January,PA,2983.9494,1153.84,40,44,1,NA,47,2,1,0,0,"Native, Born In US",PA,Elementary and secondary schools (6111),2310,Government - Local,Yes,NA,Employed-At Work,TRUE,28.845999999999997,3.3619713351613183
19649,967092906479560,January,PA,3527.0506,769.23,40,45,1,NA,30,1,7,0,0,"Native, Born In US",PA,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work,FALSE,19.23075,2.9565105604002095
19678,55774320997093,January,PA,3653.901,800,40,44,1,NA,28,2,1,0,0,"Native, Born In US",PA,Hospitals (622),3030,"Private, For Profit",No,No,Employed-At Work,TRUE,20,2.995732273553991
19706,97064320979097,January,PA,3279.046,980.76,40,44,1,NA,38,2,1,0,0,"Native, Born In US",PA,Elementary and secondary schools (6111),2320,Government - Local,Yes,NA,Employed-At Work,TRUE,24.519,3.199448327202102
19733,224033047001105,January,PA,3664.8663,2307.69,50,44,4,NA,42,1,1,2,8,"Foreign Born, US Cit By Naturalization",PA,Glass and glass product manufacturing (3272),110,"Private, For Profit",No,No,Employed-At Work,FALSE,46.153800000000004,3.83197929775411
19737,224094017908292,January,PA,3070.7621,2884.61,60,44,1,NA,56,1,1,0,0,"Native, Born In US",PA,"Non-depository credit and related activities (5222, 5223)",120,"Private, For Profit",No,No,Employed-At Work,FALSE,48.07683333333333,3.8728004256064557
19739,224249013906891,January,PA,3661.1614,634,40,44,1,NA,34,2,1,0,0,"Native, Born In US",PA,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,TRUE,15.85,2.7631695003232895
19743,236408570200141,January,PA,3387.5487,1153.84,40,44,1,NA,42,2,1,1,3,"Native, Born In US",PA,Elementary and secondary schools (6111),2330,Government - Local,Yes,NA,Employed-At Work,TRUE,28.845999999999997,3.3619713351613183
19746,249940390160934,January,PA,3363.6034,1442.3,40,44,4,NA,35,2,1,2,2,"Foreign Born, Not a US Citizen",PA,Couriers and messengers (492),1010,"Private, For Profit",No,Yes,Employed-At Work,TRUE,36.0575,3.585114886475528
19761,279580195860974,January,PA,3314.7242,1192.3,45,44,1,NA,39,2,5,1,3,"Native, Born In US",PA,"Other telecommunications services (*517 exc. 5171, 5175)",4840,"Private, For Profit",Yes,NA,Employed-Absent,TRUE,26.495555555555555,3.2769770040417665
19782,299910910630974,January,PA,3387.5487,2115.38,40,45,1,NA,43,2,1,2,3,"Native, Born In US",PA,"Administration of economic programs and space research (926, 927)",5000,Government - Federal,No,No,Employed-At Work,TRUE,52.8845,3.9681102902586276
