"","hhid","intmonth","stfips","weight","earnwke","uhours","grade92","race","ethnic","age","sex","marital","ownchild","chldpres","prcitshp","state","ind02","occ2012","class","unionmme","unioncov","lfsr94"
"40323",950679740766302,"February","MT",680.7656,400,40,39,1,NA,61,1,1,0,0,"Native, Born In US","81","Fuel dealers (45431)",9130,"Private, For Profit","No","No","Employed-At Work"
"40405",908901453995310,"February","MT",670.2834,933.92,40,39,1,NA,51,1,1,0,0,"Native, Born In US","81","Bus service and urban transit (4851, 4852, 4854, 4855, 4859)",9130,"Government - Local","Yes","","Employed-At Work"
"40621",430106906368994,"February","NE",899.0969,2884.61,65,40,1,NA,44,1,1,3,13,"Native, Born In US","46","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"40658",713096078909099,"February","NE",1211.896,262.25,25,40,1,NA,24,1,7,0,0,"Native, Born In US","46","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"40964",162149080449303,"February","NV",1483.0905,500,40,39,1,NA,56,1,1,0,0,"Native, Born In US","88","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"40968",204905933490242,"February","NV",1614.2918,384.61,30,40,1,NA,20,1,7,0,0,"Native, Born In US","88","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"41230",289395709300415,"February","NH",470.1453,500,40,43,1,2,43,1,1,0,0,"Native, Born In US","NH","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"41244",369640628480783,"February","NH",446.6407,1280,40,39,1,NA,51,1,1,1,4,"Native, Born In US","NH","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"41286",763063805389390,"February","NH",455.491,923.07,40,39,1,NA,57,1,1,0,0,"Native, Born In US","NH","Fuel dealers (45431)",9130,"Private, For Profit","No","No","Employed-At Work"
"41694",830306987764291,"February","NH",483.4892,65,8,37,1,NA,17,1,7,0,0,"Native, Born In US","NH","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"41790",52903840967596,"February","NJ",2812.3572,900,60,39,1,7,38,1,1,2,3,"Foreign Born, US Cit By Naturalization","NJ","Support activities for mining (213)",9130,"Private, For Profit","No","No","Employed-At Work"
"41800",67094106340560,"February","NJ",2510.7508,1000,60,39,1,NA,35,1,7,0,0,"Native, Born In US","NJ","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"41892",392988500097459,"February","NJ",4765.0663,636,48,40,2,NA,35,1,7,0,0,"Native, Born In US","NJ","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"41923",410870261470043,"February","NJ",2812.3572,525,40,37,1,1,38,1,1,1,3,"Foreign Born, Not a US Citizen","NJ","Bakeries, except retail (3118 exc. 311811)",9130,"Private, For Profit","No","No","Employed-At Work"
"42309",655409580479307,"February","NM",1804.9369,300,30,40,1,1,25,2,7,0,0,"Native, Born In US","85","** Professional and commercial equipment and supplies, merchant wholesalers (*4234)",9130,"Private, For Profit","No","No","Employed-At Work"
"42401",249398329500997,"February","NM",1523.9519,440,40,39,1,1,57,1,1,0,0,"Native, Born In US","85","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"42411",361974809013539,"February","NM",1772.1076,1153.84,40,41,1,8,53,1,1,0,0,"Native, Born In US","85","Scientific research and development services (5417)",9130,"Government - Federal","No","No","Employed-At Work"
"42438",553374034909561,"February","NM",1772.1076,1250,60,40,1,1,50,1,5,0,0,"Foreign Born, Not a US Citizen","85","** Petroleum and petroleum products, merchant wholesalers (*4247)",9130,"Private, For Profit","No","No","Employed-At Work"
"42783",609760647270943,"February","NY",3261.952,697.5,45,38,2,NA,42,1,3,0,0,"Foreign Born, US Cit By Naturalization","NY","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"42784",609760647270943,"February","NY",3261.952,697.5,45,38,2,NA,40,1,3,0,0,"Foreign Born, US Cit By Naturalization","NY","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"43067",39933860951992,"February","NY",2963.9744,560,40,34,1,NA,47,1,1,0,0,"Native, Born In US","NY","3895",9130,"Private, For Profit","No","No","Employed-At Work"
"43388",880163001538890,"February","NY",4967.5108,1442,55,42,1,7,32,1,7,0,0,"Native, Born In US","NY","Other health care services (6215, 6219)",9130,"Private, Nonprofit","No","No","Employed-At Work"
"43453",990867094138749,"February","NY",3935.6978,1153,40,39,1,NA,30,1,1,4,11,"Native, Born In US","NY","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"43597",830609977619193,"February","NY",5547.4553,1153.84,40,40,6,NA,29,1,1,1,1,"Native, Born In US","NY","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"43600",863016068909994,"February","NY",2994.0498,750,40,37,1,NA,50,1,1,0,0,"Native, Born In US","NY","** Construction (23)",9130,"Government - Local","Yes","","Employed-At Work"
"43792",340870094738569,"February","NC",2822.9075,576.92,40,39,1,NA,44,1,1,0,0,"Native, Born in PR or US Outlying Area","56","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"43932",117880440050306,"February","NC",3521.1957,890.45,45,41,1,NA,56,1,5,0,0,"Native, Born In US","56","** Lumber and other construction materials, merchant wholesalers (*4233)",9130,"Private, For Profit","No","No","Employed-At Work"
"44046",830706947799194,"February","NC",3129.6925,1293.88,50,39,1,NA,63,1,1,0,0,"Native, Born In US","56","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"44146",830709977906496,"February","NC",4004.9869,250,25,39,5,NA,25,1,1,0,0,"Native, Born In US","56","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"44252",583578004909697,"February","ND",405.9978,1925,65,39,1,NA,45,1,1,2,10,"Native, Born In US","ND","Support activities for mining (213)",9130,"Private, For Profit","No","No","Employed-At Work"
"44278",830806935147296,"February","ND",359.8767,1153.84,50,40,1,NA,37,1,1,2,3,"Native, Born In US","ND","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"44292",830809967480592,"February","ND",374.4118,512.4,40,39,1,NA,26,1,1,0,0,"Native, Born In US","ND","4195",9130,"Private, For Profit","No","No","Employed-At Work"
"44294",841379059800989,"February","ND",830.8594,700,40,39,4,3,49,1,1,1,3,"Foreign Born, US Cit By Naturalization","ND","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"44395",390888096638859,"February","ND",449.3817,1596,43,41,8,NA,25,1,7,0,0,"Native, Born In US","ND","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-Absent"
"44443",683522064907699,"February","ND",407.1097,2884.61,45,42,1,NA,53,1,1,0,0,"Native, Born In US","ND","Gasoline stations (447)",9130,"Private, For Profit","No","No","Employed-At Work"
"44453",808908243996648,"February","ND",426.9428,600,40,42,1,NA,21,1,7,0,0,"Native, Born In US","ND","** Alcoholic beverages, merchant wholesalers (*4248)",9130,"Private, For Profit","No","No","Employed-At Work"
"44467",828869440849306,"February","ND",316.7458,2000,70,40,1,NA,40,1,1,0,0,"Native, Born In US","ND","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"44469",830809936971697,"February","ND",316.7458,700,40,43,1,NA,41,1,7,0,0,"Native, Born In US","ND","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"44477",858899440139308,"February","ND",316.7458,2000,55,39,1,NA,42,1,5,0,0,"Foreign Born, US Cit By Naturalization","ND","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"44488",878939640719306,"February","ND",415.1766,835,70,40,1,NA,58,1,1,0,0,"Native, Born In US","ND","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"44538",193061048909897,"February","OH",2784.5592,44.01,3,41,1,NA,61,2,1,1,4,"Native, Born In US","OH","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"44581",543397689900950,"February","OH",3272.0881,837.5,50,40,1,NA,53,1,5,0,0,"Native, Born In US","OH","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"44583",593331078909192,"February","OH",2848.7801,300,30,36,1,NA,53,1,1,0,0,"Native, Born In US","OH","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"44741",392998100012919,"February","OH",3166.5431,650,35,39,1,NA,60,1,1,0,0,"Native, Born In US","OH","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"44967",979029893349430,"February","OH",3072.3981,787.5,45,39,1,NA,52,1,5,0,0,"Native, Born In US","OH","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"45000",4601123990969,"February","OH",3558.9946,576.92,40,39,1,NA,36,1,1,0,0,"Native, Born In US","OH","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"45310",242496139000711,"February","OK",2249.018,520,40,40,1,NA,57,1,1,1,3,"Native, Born In US","73","** Machinery, equipment, and supplies, merchant wholesalers (*4238)",9130,"Private, For Profit","No","No","Employed-At Work"
"45420",440009970885995,"February","OK",2233.85,1020,50,40,1,NA,60,1,1,1,4,"Native, Born In US","73","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"45465",745498509000998,"February","OK",2210.3833,520,40,40,1,NA,56,1,1,0,0,"Native, Born In US","73","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"45664",169400736450784,"February","OR",2360.334,560,40,39,2,NA,26,1,7,0,0,"Native, Born In US","92","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","Yes","Employed-At Work"
"45688",440107941741192,"February","OR",1796.1679,520,40,39,1,NA,45,1,1,1,3,"Native, Born In US","92","Building material and supplies dealers (4441 exc. 44413)",9130,"Private, For Profit","No","No","Employed-At Work"
"45762",940041644449660,"February","OR",1843.4557,842.5,40,40,1,NA,59,1,1,0,0,"Native, Born In US","92","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"45808",472918007097139,"February","OR",1725.2481,1155,60,39,1,NA,52,1,5,0,0,"Native, Born In US","92","Logging (1133)",9130,"Private, For Profit","No","No","Employed-At Work"
"45844",30112012144100,"February","OR",1811.6139,190,20,39,1,NA,31,1,7,0,0,"Native, Born In US","92","** Miscellaneous durable goods, merchant wholesalers (*4239 exc. 42393)",9130,"Private, For Profit","No","No","Employed-At Work"
"46027",5994420985892,"February","PA",3220.2252,1120,40,39,1,NA,60,1,1,0,0,"Native, Born In US","PA","Railroad rolling stock manufacturing (3365)",9130,"Private, For Profit","Yes","","Employed-At Work"
"46438",383463299200918,"February","PA",3137.2402,960,50,39,1,NA,49,1,5,0,0,"Native, Born In US","PA","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"46472",468978500096279,"February","PA",3219.8344,900,70,43,1,NA,56,1,1,0,0,"Native, Born In US","PA","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"46493",498998702003259,"February","PA",3594.5473,562.5,45,33,1,1,34,1,1,3,6,"Foreign Born, Not a US Citizen","PA","Crop production (111)",9130,"Private, For Profit","No","No","Employed-At Work"
"47019",604702194796604,"February","RI",438.3315,855,45,39,1,NA,55,1,1,0,0,"Native, Born In US","RI","Truck transportation (484)",9130,"Private, Nonprofit","No","No","Employed-At Work"
"47125",966094126449010,"February","RI",549.1462,330,30,39,1,NA,27,1,7,0,0,"Native, Born In US","RI","** Professional and commercial equipment and supplies, merchant wholesalers (*4234)",9130,"Private, For Profit","No","No","Employed-At Work"
"47202",440509942571792,"February","SC",2184.1868,560,40,39,1,NA,49,1,1,1,3,"Native, Born In US","57","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"47211",479958606026529,"February","SC",2241.69,900,40,42,1,NA,59,1,1,0,0,"Native, Born In US","57","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"47570",440609915950599,"February","SD",305.732,624,40,40,1,NA,52,1,5,0,0,"Native, Born In US","SD","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"47713",4706274994526,"February","SD",418.6312,624,40,39,1,NA,48,1,1,0,0,"Native, Born In US","SD","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"47730",29984460018200,"February","SD",447.0987,1148,45,39,1,NA,41,1,1,1,2,"Native, Born In US","SD","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"47808",493974500035649,"February","SD",311.4318,1153.84,45,39,1,NA,54,1,1,0,0,"Native, Born In US","SD","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"47832",564943098909899,"February","SD",311.4318,760,40,39,1,NA,53,1,1,0,0,"Native, Born In US","SD","Fuel dealers (45431)",9130,"Private, For Profit","No","No","Employed-At Work"
"48037",497984808076749,"February","TN",3505.1806,960,50,39,1,NA,44,1,1,0,0,"Native, Born In US","62","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"48101",78017132480240,"February","TN",3073.8062,692.3,40,39,1,NA,57,1,1,0,0,"Native, Born In US","62","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"48155",497964400034739,"February","TN",2994.9578,1210,55,39,1,NA,48,1,1,0,0,"Native, Born In US","62","****Department stores and discount stores (s45211)",9130,"Private, For Profit","No","No","Employed-At Work"
"48200",888465099700954,"February","TN",3370.5534,520,40,39,1,NA,40,1,1,2,3,"Native, Born In US","62","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"48310",69124880967398,"February","TX",3617.1518,1153,40,39,1,1,30,1,1,1,1,"Native, Born In US","74","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"48327",76724480986597,"February","TX",3591.3053,769.23,45,39,1,1,26,1,7,0,0,"Native, Born In US","74","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"48340",84234084904497,"February","TX",3674.9798,323,32,39,2,NA,37,1,7,0,0,"Native, Born In US","74","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"48473",440809973720294,"February","TX",3692.6887,480,40,39,1,1,48,1,1,2,4,"Native, Born In US","74","Structural metals, and tank and shipping container manufacturing (3323, 3324)",9130,"Private, For Profit","No","No","Employed-At Work"
"48504",490585090048899,"February","TX",3473.4124,600,40,40,1,1,59,1,1,0,0,"Native, Born In US","74","4265",9130,"Private, For Profit","No","No","Employed-Absent"
"48556",499968201097869,"February","TX",3517.1658,1800,50,40,1,NA,55,1,1,0,0,"Native, Born In US","74","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"48742",840809998216491,"February","TX",4190.6556,730.76,40,39,2,NA,58,1,1,0,0,"Native, Born In US","74","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"48777",884613074909793,"February","TX",3025.3019,1300,60,40,1,NA,40,1,1,0,0,"Native, Born In US","74","Rubber products, except tires, manufacturing (32622, 32629)",9130,"Private, For Profit","No","No","Employed-At Work"
"48931",46054480982293,"February","TX",3751.3455,3,40,36,1,1,29,1,1,3,6,"Foreign Born, Not a US Citizen","74","Grocery stores (4451)",9130,"Private, For Profit","No","No","Employed-At Work"
"48975",104902164784988,"February","TX",3056.0261,1153,40,39,1,NA,40,1,5,0,0,"Native, Born In US","74","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"48995",188799040379400,"February","TX",3579.6602,1923.07,60,40,1,NA,47,1,1,3,10,"Foreign Born, US Cit By Naturalization","74","Postal Service (491)",9130,"Government - Federal","Yes","","Employed-At Work"
"49034",404901994291158,"February","TX",3065.263,906.25,70,34,1,1,41,1,1,2,3,"Foreign Born, Not a US Citizen","74","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"49094",463988304048869,"February","TX",4505.0705,807.69,40,39,2,NA,26,1,1,0,0,"Native, Born In US","74","** Groceries and related products, merchant wholesalers (*4244)",9130,"Government - Federal","No","No","Employed-At Work"
"49223",810150194910084,"February","TX",3784.1959,971,43,40,2,NA,42,1,1,1,4,"Native, Born In US","74","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-Absent"
"49263",840809927000093,"February","TX",3593.9276,673.07,50,39,1,1,63,1,1,0,0,"Native, Born Abroad Of US Parent(s)","74","Lawn and garden equipment and supplies stores (4442)",9130,"Private, For Profit","No","No","Employed-At Work"
"49476",649497749800952,"February","TX",3360.2931,1400,60,39,1,NA,62,1,1,0,0,"Native, Born In US","74","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"49512",840809919163592,"February","TX",3790.3398,880,40,40,1,1,27,1,1,3,8,"Native, Born In US","74","Support activities for mining (213)",9130,"Private, For Profit","No","No","Employed-At Work"
"49571",469944704048829,"February","TX",3128.5779,578.5,43,39,1,NA,31,1,1,2,5,"Native, Born In US","74","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"49986",5951028909496,"February","VT",357.7859,300,15,44,1,NA,38,2,7,0,0,"Native, Born In US","VT","Animal production (112)",9130,"Private, For Profit","No","No","Employed-Absent"
"49994",30902062158104,"February","VT",339.5772,923.07,36,35,1,NA,41,1,1,2,8,"Native, Born In US","VT","Seafood and other miscellaneous foods, n.e.c. (3117, 3119)",9130,"Private, For Profit","No","No","Employed-At Work"
"50148",604607625847950,"February","VT",332.5485,720,45,34,1,NA,57,1,1,0,0,"Native, Born In US","VT","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"50357",118008758470,"February","VA",3540.1199,370,40,40,4,NA,21,1,7,0,0,"Native, Born In US","54","Retail florists (4531)",9130,"Private, For Profit","No","Yes","Employed-At Work"
"50360",118008758470,"February","VA",3263.2097,120,1,40,2,NA,23,1,7,0,0,"Native, Born In US","54","Retail florists (4531)",9130,"Private, For Profit","No","Yes","Employed-At Work"
"50491",915952034909890,"February","VA",2355.0068,2019.23,40,39,1,NA,52,1,1,0,0,"Native, Born In US","54","Beverage manufacturing (3121)",9130,"Government - Federal","No","No","Employed-At Work"
"50510",10015810980999,"February","VA",3604.7379,180,40,43,1,NA,24,1,7,0,0,"Native, Born In US","54","Retail florists (4531)",9130,"Private, For Profit","No","No","Employed-At Work"
"50592",159060574780945,"February","VA",2137.6671,680,40,33,1,5,43,2,5,1,3,"Foreign Born, Not a US Citizen","54","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"50594",159060574780945,"February","VA",2756.326,720,40,43,1,5,40,1,6,0,0,"Foreign Born, Not a US Citizen","54","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"50600",169560802210945,"February","VA",3015.1138,480,40,43,1,NA,30,1,1,1,1,"Native, Born In US","54","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"50709",587578029100995,"February","VA",2935.5016,1400,70,39,2,NA,37,1,5,0,0,"Native, Born In US","54","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"50820",904708875991051,"February","VA",2408.8952,1022.8,50,39,1,NA,58,2,7,0,0,"Native, Born In US","54","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"50872",562994103089148,"February","VA",2618.0592,760,40,39,1,NA,42,1,1,2,3,"Native, Born In US","54","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"51038",450309933096596,"February","WA",2979.5451,560,40,40,1,NA,26,1,1,0,0,"Native, Born In US","91","Furniture and home furnishings stores (442)",9130,"Private, For Profit","No","No","Employed-At Work"
"51040",450309933096596,"February","WA",2696.247,808,40,38,1,NA,36,1,1,0,0,"Native, Born In US","91","Furniture and home furnishings stores (442)",9130,"Private, For Profit","No","No","Employed-At Work"
"51047",583593249300239,"February","WA",3182.5075,275,25,42,1,6,25,1,5,0,0,"Native, Born In US","91","Drycleaning and laundry services (8123)",9130,"Private, For Profit","No","No","Employed-At Work"
"51172",389660425370945,"February","WA",3734.1348,1153,40,41,1,NA,49,1,1,1,4,"Native, Born In US","91","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"51221",803019640309501,"February","WA",3832.4435,900,40,40,1,NA,56,1,1,0,0,"Native, Born In US","91","Motor vehicles and motor vehicle equipment manufacturing (3361, 3362, 3363)",9130,"Private, For Profit","Yes","","Employed-At Work"
"51225",823769640539504,"February","WA",3307.0354,187.25,17,39,1,NA,23,1,1,2,5,"Native, Born In US","91","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"51475",608903455990234,"February","WV",1584.6304,145,20,39,1,NA,20,1,7,0,0,"Native, Born In US","55","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"51546",564974802098489,"February","WV",1105.9936,600,40,39,1,NA,48,1,1,1,4,"Native, Born In US","55","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"51553",567968503069499,"February","WV",1657.6012,350,40,35,1,NA,23,1,1,3,5,"Native, Born In US","55","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"51659",408605845995414,"February","WV",1082.3859,924,60,35,1,NA,57,1,1,0,0,"Native, Born In US","55","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"51733",57315850785295,"February","WI",1915.185,2035,55,39,1,NA,39,1,1,0,0,"Native, Born In US","WI","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"51814",735075851589520,"February","WI",3242.3608,807,40,41,2,NA,32,1,7,0,0,"Native, Born In US","WI","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"51831",850509979663296,"February","WI",1709.7415,400,40,40,1,NA,47,2,6,1,3,"Native, Born In US","WI","**Newspaper publishers (51111)",9130,"Private, For Profit","No","No","Employed-At Work"
"52092",808904125994055,"February","WI",1770.4407,1344.6,60,39,1,NA,58,1,1,0,0,"Native, Born In US","WI","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"52197",504707235994665,"February","WI",1714.7669,600,40,39,1,NA,52,1,1,0,0,"Native, Born In US","WI","Cement, concrete, lime, and gypsum product manufacturing (3273, 3274)",9130,"Private, For Profit","No","No","Employed-At Work"
"52329",65595018909995,"February","WY",274.4099,692.3,40,41,1,NA,53,1,1,0,0,"Native, Born In US","83","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"52377",450606992216397,"February","WY",274.4099,1000,50,39,1,NA,52,1,1,0,0,"Native, Born In US","83","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"52407",566954400045649,"February","WY",279.8474,1100,55,37,1,NA,55,1,1,0,0,"Native, Born In US","83","Support activities for mining (213)",9130,"Private, For Profit","No","No","Employed-At Work"
"52448",610160015658190,"February","WY",282.8184,500,40,39,1,NA,62,1,1,0,0,"Native, Born In US","83","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"52471",689640114480745,"February","WY",316.8612,1400,60,40,1,NA,27,1,1,2,5,"Native, Born In US","83","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"52520",850609949252396,"February","WY",286.1293,400,40,39,1,NA,17,1,7,0,0,"Native, Born In US","83","Furniture and home furnishings stores (442)",9130,"Private, For Profit","No","No","Employed-At Work"
"52593",450609923759795,"February","WY",281.3548,1384.61,70,42,1,NA,35,1,1,0,0,"Native, Born In US","83","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"52652",876799140217509,"February","WY",264.8912,598,40,39,1,NA,44,1,5,0,0,"Native, Born In US","83","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"52670",996269180116507,"February","WY",277.7296,1051.5,40,39,1,NA,42,1,5,0,0,"Native, Born In US","83","Commercial, industrial, and other intangible assets rental and leasing (5324, 533)",9130,"Private, For Profit","No","No","Employed-At Work"
"52973",118063484200919,"March","AK",390.5599,692.3,24,39,1,NA,60,1,1,0,0,"Native, Born In US","94","4265",9130,"Private, For Profit","No","No","Employed-At Work"
"53131",299570163000650,"March","AK",471.1566,276.92,50,36,1,NA,41,1,5,0,0,"Native, Born In US","94","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"53207",822929650306006,"March","AK",453.1982,673.07,45,40,1,NA,30,1,7,0,0,"Native, Born In US","94","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"53222",905103590106362,"March","AK",558.7649,2134,84,40,1,NA,24,1,1,0,0,"Native, Born In US","94","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"53348",479730763250950,"March","AZ",3641.4899,1200,50,40,1,NA,54,1,5,0,0,"Native, Born In US","86","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"53658",40420550996694,"March","AR",4667.2855,576.92,40,39,1,1,35,1,1,6,10,"Foreign Born, Not a US Citizen","71","Building material and supplies dealers (4441 exc. 44413)",9130,"Private, For Profit","No","No","Employed-At Work"
"53687",599890558040910,"March","AR",2434.9259,720,40,39,2,NA,32,1,7,0,0,"Native, Born In US","71","** Services to buildings and dwellings (5617 exc. 56173)",9130,"Private, For Profit","No","No","Employed-At Work"
"53714",1930150990896,"March","AR",2633.1251,63.75,15,40,2,NA,27,2,7,1,2,"Native, Born In US","71","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-Absent"
"53790",955659750389001,"March","AR",4667.2855,600,40,36,1,1,37,1,3,0,0,"Native, Born In US","71","Household appliance stores (443111)",9130,"Private, For Profit","No","No","Employed-At Work"
"53800",100500031688512,"March","AR",4202.3077,1201.92,40,41,1,NA,24,1,7,0,0,"Native, Born In US","71","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"53946",71910560941196,"March","CA",2511.9217,600,45,44,1,NA,35,1,1,0,0,"Foreign Born, Not a US Citizen","93","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"54152",110467096105199,"March","CA",2924.774,692.3,40,39,1,NA,56,1,1,0,0,"Native, Born In US","93","Investigation and security services (5616)",9130,"Private, For Profit","Yes","","Employed-At Work"
"54214",250966097401328,"March","CA",3523.4864,307.69,40,36,1,1,51,1,5,0,0,"Foreign Born, Not a US Citizen","93","** Apparel, fabrics, and notions, merchant wholesalers (*4243)",9130,"Private, For Profit","No","No","Employed-At Work"
"54318",456095299600032,"March","CA",2961.8639,538.46,40,39,1,6,32,2,1,2,3,"Native, Born In US","93","Couriers and messengers (492)",9130,"Private, For Profit","Yes","","Employed-At Work"
"54319",456095299600032,"March","CA",3067.4062,576.92,40,39,1,1,34,1,1,2,3,"Native, Born In US","93","Couriers and messengers (492)",9130,"Private, For Profit","Yes","","Employed-At Work"
"54613",736619650059005,"March","CA",3360.0441,844,40,40,1,1,52,1,1,0,0,"Native, Born In US","93","Waste management and remediation services (562)",9130,"Government - Local","No","No","Employed-Absent"
"54629",760120085604890,"March","CA",3067.4062,400,40,33,1,1,34,1,1,2,4,"Foreign Born, Not a US Citizen","93","Business support services (5614)",9130,"Private, For Profit","No","No","Employed-At Work"
"54698",860016065908994,"March","CA",3340.2264,1200,50,39,1,1,37,1,7,0,0,"Foreign Born, US Cit By Naturalization","93","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","Yes","","Employed-At Work"
"54829",954086722058020,"March","CA",2583.0383,720,40,39,1,1,32,1,1,1,3,"Native, Born In US","93","** Furniture and home furnishing, merchant wholesalers (*4232)",9130,"Private, For Profit","No","No","Employed-At Work"
